;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR45 ;77000-6-6-81-PB1YR45 ;101340219057;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR47 ;77000-5-5-25-PB1YR47 ;101340219055;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR49 ;77000-5-5-65-PB1YR49 ;101340219054;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR51 ;77000-4-3-121-PB1YR51 ;101340219052;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR52 ;77000-2-2-46-PB1YR52 ;101340219066;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR53 ;77000-4-4-71-PB1YR53 ;101340219067;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR54;77000-5-5-38-PB1YR54;101340219099;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR55 ;77000-6-6-14-PB1YR55 ;101340219088;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR75 ;77000-2-2-26-PB1YR75 ;101340218995;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR76;77000-1-1-77-PB1YR76;101340218997;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR77 ;77000-6-6-45-PB1YR77 ;101340219022;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR79 ;77000-2-2-31-PB1YR79 ;101340219043;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR80  ;77000-3-3-46-PB1YR80  ;101340219034;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV82;77000-4-4-51-PB1YV82;101340218998;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR83 ;77000-6-6-12-PB1YR83 ;101340218996;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR84;77000-1-1-60-PB1YR84;101340218994;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YR85 ;77000-1-1-50-PB1YR85 ;101340219040;2013;01.09.2018;!;!
